"Company Name","Max Glassdoor Rating","Max Employee Count"
"Henry Meds",4.1,"N/A"
"Hear.com",4.1,10015000
"Gryphon Scientific",4.1,150
"Findhelp",4.1,201500
"FHI 360",4.1,10015000
"Expion Health",4.1,150
"Equinox+",4.1,150
"EPAM Systems",4.1,500110000
"ELLKAY",4.1,5011000
"Eli Lilly and Company",4.1,"N/A"
"Eagle Telemedicine",4.1,51200
"Doctor Multimedia",4.1,51200
"CrescentCare",4.1,150
"CompuGroup Medical US",4.1,10015000
"Collective Health",4.1,5011000
"Cardiovascular Systems, Inc.",4.1,"N/A"
"Business Group on Health",4.1,150
"Blue Cross NC",4.1,500110000
"Bizmatics: A Harris Computer Company",4.1,"N/A"
"Biorasi",4.1,201500
"Any Lab Test Now",4.1,"N/A"
"AMOpportunities",4.1,150
"Advantum Health",4.1,201500
"Actium Health",4.1,"N/A"
"ACIST Medical Systems",4.1,"N/A"
"Accuity",4.1,150
"ABRiO Care",4.1,51200
"Xaira Therapeutics",4,"N/A"
"Wynn Resorts",4,10000
"Wellth",4,51200
"Vital",4,51200
"Varian",4,500110000
"Tyto Care",4,5011000
"Twistle",4,51200
"Total Gym",4,150
"The Healthy Back Institute",4,51200
"St. Jude Children's Research Hospital - ALSAC",4,10015000
"Solventum",4,10000
"Smith+Nephew",4,10000
"Smith & Nephew",4,10000
"Siemens Healthineers",4,"N/A"
"Sentara Healthcare",4,10000
"SCP Health",4,10015000
"Ribbon Health",4,51200
"Quest Analytics, LLC",4,201500
"Q-Centrix",4,10015000
"Pierre Fabre Group",4,"N/A"
"Phil, Inc",4,10000
"Peloton",4,51200
"Pelago",4,150
"Peachtree BioResearch Solutions",4,51200
"Organon",4,500110000
"Orasure Technologies",4,"N/A"
"Omada Health",4,5011000
"NECI",4,500110000
"MRI Interventions",4,"N/A"
"MMIT",4,10015000
"MemorialCare",4,"N/A"
"MeMD",4,10015000
"Kimberly-Clark",4,10000
"JPS Health Network",4,"N/A"
"Jabra Hearing",4,51200
"Ipas",4,201500
"iMedX",4,10015000
"ICON plc",4,10000
"HonorHealth",4,10000
"Heart Walk",4,10015000
"Fullscript",4,"N/A"
"FreedomCare",4,5011000
"Fitbit",4,10015000
"Empirico",4,500110000
"Embody",4,150
"Edwards Lifesciences",4,"N/A"
"DrFirst",4,201500
"Cortica",4,10015000
"Convey Health Solutions",4,10015000
"Clerio Vision",4,51200
"Cincinnati Children's Hospital Medical Center",4,"N/A"
"Cariloop",4,51200
"Braverhood",4,10015000
"BehaVR",4,150
"athenahealth",4,500110000
"Assurance",4,150
"Associated Clinic of Psychology",4,"N/A"
"Arcadia",4,5011000
"andros",4,51200
"Ametros",4,51200
"American Society for Cell Biology (ASCB)",4,"N/A"
"AGS Health",4,10015000
"AdventHealth",4,"N/A"
"Active Minds, Inc.",4,5011000
"Access Physicians",4,51200
"ABC Fitness Solutions",4,10015000
"AbbVie",4,10000
"Zocdoc",3.9,5011000
"ZeOmega",3.9,"N/A"
"XSOLIS",3.9,201500
"Wellthy",3.9,201500
"Wellmark Blue Cross and Blue Shield",3.9,10015000
"Weave",3.9,5011000
"Viz.ai",3.9,201500
"Vessel",3.9,150
"Ultimate Medical Academy",3.9,10015000
"Two Chairs",3.9,5011000
"Thyme Care",3.9,150
"The Honey Pot Company",3.9,51200
"SpectraMedix",3.9,51200
"Southwest Center",3.9,51200
"Reveleer",3.9,201500
"RENOVO Solutions",3.9,201500
"PTC Therapeutics",3.9,5011000
"PSL Group",3.9,10000
"PicnicHealth",3.9,51200
"Philips",3.9,10000
"Pediatric Home Healthcare",3.9,5011000
"OWL",3.9,150
"On Lok",3.9,5011000
"OmniSYS",3.9,201500
"Nuvolo",3.9,201500
"Novus International, Inc",3.9,"N/A"
"Navitus Health Solutions",3.9,"N/A"
"Multiplier AI",3.9,51200
"Mission Healthcare",3.9,10015000
"MEI Pharma",3.9,150
"MedTrainer",3.9,51200
"Medifast, Inc",3.9,5011000
"Maxwell Health",3.9,51200
"Madrigal Pharmaceuticals",3.9,150
"Lively, Inc.",3.9,500110000
"LightForce Orthodontics Inc.",3.9,5011000
"Life Fitness",3.9,10015000
"Kraton Performance Polymers",3.9,10015000
"John Snow Labs",3.9,"N/A"
"IQVIA",3.9,"N/A"
"INSIGHTEC",3.9,201500
"IDLife",3.9,"N/A"
"HST Pathways",3.9,201500
"Hero Health",3.9,10000
"Henry Schein",3.9,"N/A"
"HealthStream",3.9,10015000
"Health Catalyst",3.9,"N/A"
"GSK",3.9,10000
"Grace Health",3.9,150
"Fulcrum Therapeutics",3.9,51200
"Florence Healthcare",3.9,201500
"Essity",3.9,10000
"DoctorLogic",3.9,51200
"DEKA Research & Development",3.9,201500
"Danaher Corporation",3.9,201500
"Cystic Fibrosis Foundation",3.9,"N/A"
"Compass Health Consultants",3.9,"N/A"
"Cogitativo",3.9,"N/A"
"Click Therapeutics",3.9,500110000
"Children's Wisconsin",3.9,10015000
"CareVoyant",3.9,"N/A"
"Brainlab",3.9,10015000
"Blue Cross and Blue Shield of Nebraska",3.9,10015000
"Blue Cross & Blue Shield of Rhode Island",3.9,5011000
"Blackrock Neurotech",3.9,51200
"Bellese Technologies",3.9,51200
"Becton Dickinson",3.9,"N/A"
"BD",3.9,"N/A"
"BayCare Health System",3.9,51200
"Aurora Pharmaceutical Inc",3.9,150
"Arine",3.9,51200
"Anthem",3.9,10000
"Ansell",3.9,"N/A"
"Angle Health",3.9,10000
"Advantia Health",3.9,5011000
"Accumen",3.9,"N/A"
"AC Talent",3.9,"N/A"
"180 Medical",3.9,5011000
"10Pearls",3.9,201500
"Ximedica",3.8,"N/A"
"Westlake Chemical Corporation",3.8,500110000
"Vocera Communications",3.8,5011000
"Viatris",3.8,10000
"VetSource",3.8,5011000
"Vantage MedTech",3.8,201500
"Upfront Healthcare",3.8,500110000
"Univera Healthcare",3.8,"N/A"
"UNC REX Healthcare",3.8,500110000
"Truehold",3.8,51200
"Thirty Madison",3.8,5011000
"The Bliss Group",3.8,51200
"TeraRecon",3.8,51200
"SprintRay",3.8,201500
"SOPHiA GENETICS",3.8,201500
"SKYGEN USA",3.8,"N/A"
"SI-BONE",3.8,51200
"ShiftMed",3.8,201500
"Scout Health",3.8,10015000
"Scott & White Healthcare",3.8,10000
"Rx Savings Solutions",3.8,"N/A"
"Regenesis Biomedical",3.8,"N/A"
"Redirect Health",3.8,201500
"Rarebreed veterinary partners",3.8,5011000
"Quartz Health Solutions",3.8,5011000
"Procurement Partners",3.8,"N/A"
"PierianDx",3.8,51200
"Pfizer",3.8,10000
"Onlife Health®",3.8,10000
"OnePoint Patient Care",3.8,201500
"Northwell Health",3.8,"N/A"
"NextMed",3.8,51200
"Neora",3.8,"N/A"
"Nature's Way",3.8,10015000
"Milliman",3.8,10015000
"Medtronic",3.8,"N/A"
"MEDTOX Scientific",3.8,"N/A"
"MediTelecare",3.8,10000
"MedCerts",3.8,201500
"MDLIVE",3.8,"N/A"
"McKesson",3.8,"N/A"
"Lyra Health",3.8,10015000
"Lumistry",3.8,51200
"Lingraphica",3.8,51200
"LetsGetChecked",3.8,5011000
"Kaiser Permanente",3.8,10000
"Ipsen",3.8,"N/A"
"Interexy",3.8,"N/A"
"InsideTracker",3.8,150
"Infinitus Systems, Inc.",3.8,10000
"IMO Health",3.8,201500
"iHealth Labs",3.8,51200
"Humana",3.8,10000
"HSA Bank, a division of Webster Bank, N.A.",3.8,500110000
"Healthtrax Fitness & Wellness",3.8,"N/A"
"Healthmine",3.8,"N/A"
"Healthcare Management Administrators (HMA)",3.8,"N/A"
"Health Prime",3.8,5011000
"Health Management Associates",3.8,201500
"GHX",3.8,5011000
"Getix",3.8,10015000
"Get Well Network",3.8,201500
"Frontdesk",3.8,51200
"FDB",3.8,5011000
"Enovis",3.8,500110000
"eLuma, LLC",3.8,"N/A"
"Elanco",3.8,500110000
"Eisai US",3.8,10015000
"Ecg Management Consultants, Inc.",3.8,201500
"e4",3.8,201500
"Defibtech",3.8,51200
"Deep 6 AI",3.8,51200
"DDi",3.8,150
"DARVIS",3.8,51200
"D1 TRAINING",3.8,201500
"ComplexCare Solutions",3.8,5011000
"Cochlear",3.8,10015000
"Clearwave",3.8,10015000
"CertifyOS",3.8,51200
"Centene Corporation",3.8,"N/A"
"CaroMont Health",3.8,10015000
"Boston Medical Center (BMC)",3.8,500110000
"Boston Health Care for the Homeless Program",3.8,500110000
"Body Vision Medical",3.8,"N/A"
"BlueCross BlueShield of Tennessee",3.8,"N/A"
"Blue Cross of Idaho",3.8,10015000
"BERG",3.8,51200
"Baylor Scott & White Health",3.8,10000
"BAYADA Home Health Care",3.8,10000
"Baxter International Inc.",3.8,"N/A"
"Aya Healthcare",3.8,500110000
"Avondale Partners",3.8,10015000
"Atrium Health",3.8,10000
"ApolloMed",3.8,10015000
"AnaptysBio",3.8,"N/A"
"Abiomed",3.8,10015000
"Abbott",3.8,"N/A"
"4G Clinical",3.8,201500
"3Shape",3.8,10015000
